ID,Coordinates
10ThStreet_0,"[(26.288150, 50.219574),(26.291542, 50.199119)]"
10ThStreet_1,"[(26.291584, 50.199094),(26.288128, 50.188725)]"
16ThStreet_0,"[(26.278496, 50.203740),(26.272351, 50.185939)]"
20ThStreet_0,"[(26.276338, 50.210148),(26.273066, 50.200707)]"
20ThStreet_1,"[(26.272995, 50.200554),(26.268144, 50.186892)]"
28ThStreet_0,"[(26.419414, 50.085423),(26.430770, 50.085524)]"
28ThStreet_1,"[(26.431009, 50.085529),(26.444227, 50.080658)]"
28ThStreet_2,"[(26.444764, 50.080529),(26.458788, 50.081001)]"
30thSt_0,"[(26.258756, 50.191802),(26.266317, 50.213079)]"
32Street_0,"[(26.42500055, 50.01875671),(26.423327,50.019075)]"
5ThStreet_0,"[(26.46269442 , 50.01331132),(26.479468, 50.041820)]"
5ThStreet_1,"[(26.479448, 50.042099),(26.483289, 50.053236)]"
605_0,"[(26.404148438752532,49.85645020426125),(26.38948015449498,49.91709405548386)]"
605_0,"[(26.389364824593223,49.917394462893526),(26.377559064694445,49.95120529158976)]"
605_0,"[(26.377520617438794,49.95137695296671),(26.37092672385245,49.9836492918339)]"
605_0,"[(26.37094594857892,49.98384241088297),(26.372060977240814,49.991996326288245),(26.37743244041498,50.006480254968665)]"
605_0,"[(26.377586229478226,50.00682357772257),(26.388197180425216,50.02792589575347),(26.39161861979418,50.0321799806577)]"
605_0,"[(26.39192615994009,50.03269496478856),(26.403578484686346,50.0551611474973)]"
605_0,"[(26.40365536183411,50.055354266546374),(26.411897910957407,50.07144503334234)]"
605_0,"[(26.411893106480406,50.07153622844885),(26.421834510884416,50.09107778676173)]"
605_0,"[(26.421934617675014,50.09127456793681),(26.428503727438322,50.10442219589595)]"
605_0,"[(26.4285517652795,50.10461531494502),(26.42852992532274,50.10811250193649),(26.425604569051238,50.11401378501864)]"
605_0,"[(26.425566137797436,50.114078158035),(26.41534895090164,50.12781039827337)]"
605_0,"[(26.41526247287215,50.127885500125785),(26.402862369661502,50.14197370620468)]"
605_1,"[(26.31355732013373,50.21168476490914),(26.29464028923391,50.20812530495971)]"
605_15,"[(26.55297211823631,49.89414686618943),(26.520138549946825,49.841825756560524),(26.50969336104676,49.83101108981248),(26.505238506247853,49.80028370333787)]"
605_2,"[(26.40276627255848,50.142080994565276),(26.3909483103316,50.15541999606717)]"
605_2,"[(26.390832981896207,50.15559165744412),(26.375336413947124,50.17310721008971)]"
605_2,"[(26.37489426122906,50.17336470215514),(26.36624125268686,50.1830559452269)]"
605_2,"[(26.36610667405672,50.18318469125961),(26.363441703333955,50.185534929369396),(26.357058504093345,50.1891136032001)]"
605_3,"[(26.341197715647517,50.19750199841519),(26.31428821977414,50.21138435749947)]"
605_4,"[(26.356618229782026,50.18932218781492),(26.34146693072608,50.19724450634976)]"
605_5,"[(26.294524864769556,50.20812530495971),(26.284719717441234,50.20613301734295),(26.27914025973537,50.20892251471844)]"
605_9,"[(26.505392124806292,49.79925373507615),(26.500937103222025,49.7910139889824),(26.404186877142962,49.85589230478615)]"
610_0,"[(26.378937810835883,50.17803442344086),(26.353838576651306,50.17865118003863)]"
610_1,"[(26.401428820023263,50.178995468916014),(26.397853909513167,50.17551932603271),(26.379168491348224,50.17803442344086)]"
610_10,"[(26.353838576651306,50.17865118003863),(26.32846839809185,50.179264495921416)]"
610_2,"[(26.328083761739915,50.179264495921416),(26.31416086244659,50.17944479001653),(26.302350485417602,50.17180585874212)]"
610_9,"[(26.302196596340718,50.17172002805364),(26.293647853014857,50.15798059466442),(26.29095456252799,50.154933605223505),(26.28847948922423,50.1447945704449)]"
613_0,"[(26.418353827093178,50.06310814933431),(26.4003620435969,50.074160661376936)]"
613_0,"[(26.400131405418737,50.07428940740965),(26.380762413748766,50.08695642201258)]"
613_1,"[(26.489754007107116,49.992142033053256),(26.44804510166721,50.042361509589)]"
613_1,"[(26.447814558851466,50.04257608631019),(26.418776596622678,50.06285065726888)]"
613_10,"[(26.295846623895294,50.16769655801488),(26.28756662505921,50.17872333526611),(26.27754884005125,50.183031262484064)]"
613_10,"[(26.277414158322514,50.18316000851678),(26.258329928281043,50.191404819488525)]"
613_10,"[(26.25823371113496,50.191447734832764),(26.25058442455992,50.19703797759769),(26.24492634370006,50.19734550283624),(26.2377232035555,50.19485641287042)]"
613_11,"[(26.237376760021686,50.194770582181945),(26.207270725091654,50.19743201701135)]"
613_11,"[(26.207097458100705,50.197367643994994,(26.201388468911638,50.195911020539484),(26.19160761223738,50.189645380280695)]"
613_12,"[(26.319326128607027,50.1513081897275),(26.310954737255017,50.157702576019005),(26.296192892996526,50.16738879254683)]"
613_3,"[(26.35107166212617,50.102895325511554),(26.336918966618647,50.108130997508624)]"
613_3,"[(26.337072809570845,50.10851723560677),(26.340322694146582,50.117593830913165),(26.33402333836987,50.13223819854932)]"
613_3,"[(26.333750208240748,50.132718965451886),(26.319441528373176,50.151222359039025)]"
613_5,"[(26.38045484387365,50.08712808338953),(26.351417766143914,50.102637833446124)]"
613_8,"[(26.558247609698178,49.95413538432865),(26.489984465915427,49.99149830288968)]"
613_9,"[(26.191338049438542,50.18951663424798),(26.181479324262657,50.18269309451409)]"
613To95Link_0,"[(26.482686, 49.989380),(26.477135, 49.993929)]"
613To95Link_1,"[(26.495343, 49.987964),(26.484684, 49.989058)]"
613To95Link_2,"[(26.48020501 , 49.99084004),(26.495958, 49.987449)]"
615_0,"[(26.1783680644381,49.93758681084148),(26.211027513416195,49.96967844526114)]"
615_16,"[(26.351390782332956,50.133653467772206),(26.359725946243127,50.143438166258534),(26.382879262514635,50.14925056431218)]"
615_17,"[(26.38341749796198,50.14925056431218),(26.399541314760643,50.15281540869864)]"
615_2,"[(26.211181523331735,49.969978852670806),(26.236362567684903,49.99276185709823)]"
615_2,"[(26.236497228945524,49.992929766434145),(26.255248780636393,50.007025372196836)]"
615_21,"[(26.13212371492485,49.88387831062312),(26.1776748229294,49.936728503956715)]"
615_26,"[(26.400156352022616,50.152772493354405),(26.40323148917187,50.153287477485264),(26.412081083138297,50.15772910924318)]"
615_27,"[(26.34487899941556,50.119620610769175),(26.348198894161868,50.12532789098998),(26.351236958417015,50.133395975706776)]"
615_3,"[(26.274778678885944,50.02178226025694),(26.304901970149512,50.04434593404358)]"
615_3,"[(26.30534188873175,50.04471296113297),(26.327968595861776,50.07990428697883)]"
615_3,"[(26.328045523310905,50.080033033011546),(26.333615791655415,50.097984054173025)]"
615_3,"[(26.33365425351022,50.09828446158269),(26.337077307404282,50.10841248282293),(26.344648250476695,50.119406034047984)]"
615_4,"[(26.255460463692565,50.00723994891803),(26.274393864346482,50.02152476819151)]"
615_6,"[(26.431946441514036,50.169220016766985),(26.450775178345985,50.17814640836855)]"
615_7,"[(26.475490196773805,50.194172859191895),(26.50614358898534,50.20115348940101)]"
615_8,"[(26.412273261749313,50.15790077062013),(26.421113131744818,50.16248701455834),(26.424456732034145,50.16540525796654),(26.43160057879655,50.16904835539003)]"
615_9,"[(26.451054889270623,50.178342086459566),(26.474434571129105,50.19379161038535)]"
617_0,"[(26.3264558 , 50.21489185),(26.31976363 , 50.22221324),(26.306606 , 50.223364000000004),(26.25727523 , 50.21453139),(26.24946998 , 50.21572117),(26.22995656 , 50.21366511)]"
617_1,"[(26.206605 , 50.213048),(26.187956 , 50.211287),(26.178262 , 50.185908000000005),(26.17786118 , 50.1688771),(26.16435501 , 50.16285604)]"
617_2,"[(26.38368112 , 50.1923809),(26.36827176 , 50.20421514),(26.357093 , 50.208731)]"
617_3,"[(26.45807243 , 50.05060806),(26.440410999999997 , 50.059659),(26.443082 , 50.090835999999996),(26.44190626 , 50.11809924),(26.440662 , 50.118328999999996),(26.42511194 , 50.14424551),(26.42089501 , 50.15835204),(26.408634000000003 , 50.177034),(26.397806 , 50.183924)]"
617_4,"[(26.20274701 , 50.03298104),(26.200644 , 50.040934),(26.19609919 , 50.04576483),(26.19119717 , 50.05421924),(26.18792608 , 50.05896253)]"
617_5,"[(26.49818801 , 50.03148704),(26.49025201 , 50.03953904)]"
617_6,"[(26.539410999999998 , 50.008565999999995),(26.51733773 , 50.02103947)]"
617_7,"[(26.14705301 , 50.16218004),(26.136992000000003 , 50.159447),(26.12414291 , 50.15755275),(26.112629000000002 , 50.158438000000004)]"
617_8,"[(26.085357000000002 , 50.145576),(26.086904999999998 , 50.132675)]"
617_9,"[(26.10444801 , 50.11551804),(26.12673701 , 50.10122704)]"
619_0,"[(26.383174، 50.121526),(26.373446, 50.124366)]"
619_1,"[(26.373253, 50.124366),(26.362332, 50.128143),(26.33669682 , 50.15294965),(26.33031069 , 50.15526481)]"
619_2,"[(26.399993, 50.116473),(26.391612, 50.119048)]"
619_3,"[(26.428086999999998 , 50.1171),(26.416023, 50.109563)]"
619_4,"[(26.391573, 50.119177),(26.383153, 50.121452)]"
6318_0,"[(26.17708298,50.12034564),(26.218236,50.120785)]"
7th Street,"[(26.28770888, 50.21184578),(26.28746201,50.21139103)]"
80M_0,"[(26.337104999999998 , 50.033634),(26.339455, 50.033696)]"
80M_1,"[(26.257029, 50.086081),(26.285121, 50.057199)]"
80M_2,"[(26.24278 , 50.098413),(26.25553077 , 50.08773471)]"
80M_3,"[(26.31940906 , 50.03804392),(26.32269716 , 50.03767788)]"
80M_4,"[(26.31434892 , 50.04031406),(26.310571999999997 , 50.043078)]"
80M_5,"[(26.35636701 , 50.03531304),(26.35250578 , 50.03316858)]"
80M_6,"[(26.32864329 , 50.03524272),(26.33049032 , 50.03431067)]"
80M_7,"[(26.348184, 50.031765),(26.339453, 50.033610)]"
95_5,"[(26.29346651053781,50.0504450870136),(26.28581496209085,50.05649650868088),(26.281197542585474,50.06417835529953)]"
Abu Jabir Al Ansari St,"[(26.332023, 50.143801),(26.332023, 50.143801)]"
AbuBakerAlSiddiqStreet_0,"[(26.42128201 , 50.02623504),(26.391810, 50.047779)]"
AbuBakerAlSiddiqStreet_1,"[(26.374834, 50.062113),(26.363625, 50.071597)]"
AbuBakerAlSiddiqStreet_2,"[(26.391636, 50.047994),(26.374969, 50.062070)]"
Al Imam Al Termathei St,"[(26.40999826, 50.04780608),(26.410370, 50.048331)]"
Ali Ibn Abi Taleb Street,"[(26.40515425, 50.10634905),(26.406189, 50.107362),(26.422485, 50.117190)]"
AlKhaleejRoad_0,"[(26.456273 , 50.105798),(26.458852, 50.097424),(26.458852, 50.097424),(26.463951, 50.062348)]"
AlKhaleejRoad_1,"[(26.455976, 50.111995),(26.456091, 50.131650)]"
AlKhaleejRoad_2,"[(26.504949, 50.037444),(26.531713, 50.030878)]"
AlKhaleejRoad_3,"[(26.496694, 50.042129),(26.504183, 50.037837)]"
AlKhaleejRoad_4,"[(26.531773, 50.028970),(26.556650, 50.013606)]"
AlKhaleejRoad_5,"[(26.496669, 50.041967),(26.500394, 50.040250)]"
AlKhaleejRoad_6,"[(26.483464, 50.053250),(26.493719, 50.044109)]"
AlKhaleejRoad_7,"[(26.464603, 50.061533),(26.483349, 50.053336)]"
Al-QudsStreet_0,"[(26.334166, 50.188124),(26.313317, 50.191471)]"
Al-QudsStreet_1,"[(26.313009, 50.191428),(26.306007, 50.190098)]"
CornicheRoad_0,"[(26.317406, 50.229172),(26.306134, 50.226382)]"
CornicheRoad_1,"[(26.304017, 50.226511),(26.300477, 50.225481), (26.300476, 50.222176),(26.279021, 50.217967)]"
CornicheRoad_2,"[(26.32158977 , 50.22828679),(26.32158977 , 50.22828679)]"
CornicheRoad_3,"[(26.264309, 50.218362),(26.239045, 50.219388)]"
Dhahran Road,"[(26.281096, 50.207369),(26.287947, 50.183549)]"
Fatema Al Zahra St,"[(26.411244, 50.124806),(26.418354, 50.111094)]"
FerasAl-NadherStreet_0,"[(26.307053999999997 , 50.180126),(26.307053999999997 , 50.180126)]"
FerasAl-NadherStreet_1,"[(26.293646, 50.181993),(26.289028, 50.182208)]"
Imam Muhammad Ibn Abdulwahab St,"[(26.339859, 50.034411),(26.375100, 50.089970)]"
Khwarizmi Road,"[(26.425514, 50.043546),(26.410639, 50.014449)]"
King Abdul Aziz Street,"[(26.454959, 50.053112),(26.450501, 50.080578),(26.449886, 50.088689),(26.446658, 50.105898),(26.446235, 50.117485)]"
King Khaled Street,"[(26.438793, 50.117021),(26.438562, 50.093868),(26.422651, 50.062454)]"
King Saud Street,"[(26.408821, 49.980336),(26.424452, 50.033534),(26.439708, 50.053103)]"
KingAbdullahBinAbdulazizRoad_0,"[(26.43866301 , 50.13106604),(26.495282, 50.133643)]"
KingAbdullahBinAbdulazizRoad_1,"[(26.455360, 50.112250),(26.451440, 50.131691)]"
KingAbdullahBinAbdulazizRoad_2,"[(26.497076, 50.122207),(26.457494, 50.112413)]"
MakkahAlMukarramahRoad_0,"[(26.29695303 , 50.18480441),(26.280911, 50.191693)]"
MakkahAlMukarramahRoad_1,"[(26.261639, 50.200013),(26.253633, 50.203532),(26.249937, 50.202545)]"
MakkahAlMukarramahRoad_2,"[(26.280737, 50.191757),(26.261880, 50.199825)]"
OldAbqaiqRoad_0,"[(26.278231, 50.060714),(26.308180, 50.092703)]"
OldAbqaiqRoad_1,"[(26.189236, 49.991028),(26.234023, 50.040358)]"
OldAbqaiqRoad_2,"[(26.234754, 50.040658),(26.267381, 50.049170),(26.277924, 50.060414)]"
OldAbqaiqRoad_3,"[(26.13675401 , 49.89191705),(26.188736, 49.990599)]"
OmarIbnAlKhattebStreet_0,"[(26.451397, 50.021654),(26.425679, 50.043896)]"
OmarIbnAlKhattebStreet_1,"[(26.425505, 50.044003),(26.406710, 50.060482)]"
OmarIbnAlKhattebStreet_2,"[(26.406210, 50.060782),(26.389276, 50.075287)]"
OmarIbnAlKhattebStreet_3,"[(26.460908 , 50.013776),(26.458662, 50.015389)]"
OmarIbnAlKhattebStreet_4,"[(26.458660, 50.015775),(26.451667, 50.021783)]"
OthmanBinAffanStreet_0,"[(26.422696999999996 , 50.087794),(26.403595, 50.103900)]"
OthmanBinAffanStreet_1,"[(26.403671, 50.103943),(26.377106, 50.104158)]"
PrinceFaisalBinFahedRoad_0,"[(26.3049602 , 50.19500088),(26.302638, 50.209239)]"
PrinceHumudStreet_0,"[(26.284545, 50.197863),(26.318556, 50.204558)]"
PrinceMetibRoad_0,"[(26.365775, 50.144422),(26.373234, 50.124381)]"
PrinceMohammedBinFahdRoad_0,"[(26.45427401 , 50.11994004),(26.446423, 50.117964)]"
PrinceMohammedBinFahdRoad_1,"[(26.446076, 50.117964),(26.430820, 50.117964)]"
PrinceNaifBinAbdulazizRoad_0,"[(26.439260, 50.065149),(26.461698, 50.061501)]"
PrinceNaifBinAbdulazizRoad_1,"[(26.399660, 50.087169),(26.431280, 50.067401),(26.439165, 50.065020)]"
PrinceNaifBinAbdulazizRoad_2,"[(26.391165, 50.092475),(26.399535, 50.087186)]"
PrinceSultanRoad_0,"[(26.330762 , 50.173546),(26.332160, 50.146024),(26.334890, 50.158255),(26.329466, 50.168040),(26.332350, 50.177739)]"
PrinceSultanRoad_1,"[(26.332695, 50.179928),(26.336444, 50.199454)]"
PrinceTurkeyStreet_0,"[(26.320377, 50.221834),(26.309413, 50.223894),(26.301064, 50.222306)]"
RiyadhStreet_0,"[(26.281292, 50.197150),(26.263397, 50.204789),(26.250388, 50.203029)]"
SaadIbnAbiWaqqasSt_0,"[(26.313398, 50.156419),(26.316513, 50.178821)]"
ToRoad95_0,"[(26.493602, 49.985583),(26.489511, 49.988179),(26.483019, 49.988608),(26.482212, 49.986033)]"
